agency_id,line_id,operational_day,total_trip_count,pass_trip_count,pass_trip_percentage
42,2820,20241001,4,4,1
42,2821,20241001,32,31,0.96875
42,2822,20241001,14,14,1
42,2823,20241001,69,69,1
42,2824,20241001,83,81,0.9759036144578314
42,2830,20241001,2,2,1
42,2831,20241001,79,79,1
42,2833,20241001,7,7,1
42,2841,20241001,27,27,1
42,2842,20241001,11,11,1
42,2900,20241001,1,1,1
42,2901,20241001,8,8,1
42,2905,20241001,6,6,1
42,2906,20241001,6,5,0.8333333333333334
42,2908,20241001,4,4,1
42,2910,20241001,3,3,1
42,2911,20241001,5,5,1
42,2913,20241001,4,4,1
42,2914,20241001,2,2,1
42,2915,20241001,1,1,1
42,2920,20241001,6,6,1
42,2921,20241001,28,27,0.9642857142857143
42,2926,20241001,9,9,1
42,2927,20241001,24,24,1
42,2928,20241001,9,8,0.8888888888888888
43,3001,20241001,58,58,1
43,3003,20241001,59,55,0.9322033898305084
43,3004,20241001,53,52,0.9811320754716981
43,3005,20241001,16,15,0.9375
43,3006,20241001,26,25,0.9615384615384616
43,3007,20241001,61,61,1
43,3008,20241001,24,23,0.9583333333333334
43,3009,20241001,54,47,0.8703703703703703
43,3011,20241001,56,55,0.9821428571428571
43,3012,20241001,76,76,1
43,3013,20241001,94,93,0.9893617021276596
43,3014,20241001,27,25,0.9259259259259259
43,3015,20241001,20,20,1
43,3017,20241001,64,64,1
43,3018,20241001,4,4,1
43,3019,20241001,9,8,0.8888888888888888
43,3020,20241001,18,18,1
43,3021,20241001,46,46,1
43,3022,20241001,95,88,0.9263157894736842
43,3023,20241001,52,48,0.9230769230769231
43,3024,20241001,61,60,0.9836065573770492
43,3025,20241001,68,66,0.9705882352941176
43,3026,20241001,81,69,0.8518518518518519
43,3027,20241001,51,50,0.9803921568627451
43,3028,20241001,18,18,1
43,3029,20241001,18,18,1
43,3030,20241001,24,24,1
43,3033,20241001,24,24,1
43,3034,20241001,37,34,0.918918918918919
43,3037,20241001,18,10,0.5555555555555556
43,3038,20241001,44,43,0.9772727272727273
43,3040,20241001,65,64,0.9846153846153847
43,3041,20241001,52,48,0.9230769230769231
43,3101,20241001,103,103,1
43,3103,20241001,70,68,0.9714285714285714
43,3104,20241001,34,33,0.9705882352941176
43,3105,20241001,90,88,0.9777777777777777
43,3106,20241001,21,21,1
43,3107,20241001,34,32,0.9411764705882353
43,3108,20241001,103,101,0.9805825242718447
43,3109,20241001,8,8,1
43,3110,20241001,15,15,1
43,3111,20241001,77,77,1
43,3112,20241001,82,80,0.975609756097561
43,3113,20241001,85,85,1
43,3114,20241001,36,36,1
43,3116,20241001,49,47,0.9591836734693877
43,3118,20241001,52,51,0.9807692307692307
43,3119,20241001,45,44,0.9777777777777777
43,3120,20241001,16,15,0.9375
43,3121,20241001,30,24,0.8
43,3201,20241001,13,13,1
43,3202,20241001,2,2,1
43,3203,20241001,8,8,1
43,3204,20241001,10,10,1
43,3205,20241001,6,6,1
43,3206,20241001,3,3,1
43,3207,20241001,10,10,1
43,3208,20241001,14,14,1
43,3209,20241001,8,8,1
43,3210,20241001,7,7,1
43,3211,20241001,13,13,1
43,3212,20241001,9,9,1
43,3213,20241001,14,14,1
43,3214,20241001,11,11,1
43,3215,20241001,9,9,1
43,3216,20241001,10,9,0.9
43,3217,20241001,11,9,0.8181818181818182
43,3218,20241001,10,10,1
43,3220,20241001,20,20,1
43,3221,20241001,20,20,1
43,3222,20241001,27,26,0.9629629629629629
43,3502,20241001,1,1,1
43,3503,20241001,28,28,1
43,3504,20241001,54,54,1
43,3505,20241001,19,18,0.9473684210526315
43,3506,20241001,68,53,0.7794117647058824
43,3507,20241001,44,43,0.9772727272727273
43,3508,20241001,76,74,0.9736842105263158
43,3509,20241001,16,16,1
43,3510,20241001,9,9,1
43,3511,20241001,8,8,1
43,3512,20241001,60,59,0.9833333333333333
43,3513,20241001,58,58,1
43,3514,20241001,34,32,0.9411764705882353
43,3515,20241001,54,48,0.8888888888888888
43,3516,20241001,58,54,0.9310344827586207
43,3517,20241001,59,58,0.9830508474576272
43,3518,20241001,12,12,1
43,3521,20241001,68,66,0.9705882352941176
43,3523,20241001,30,28,0.9333333333333333
43,3524,20241001,30,28,0.9333333333333333
43,3525,20241001,54,49,0.9074074074074074
43,3526,20241001,80,78,0.975
43,3527,20241001,8,8,1
43,3528,20241001,10,9,0.9
43,3535,20241001,8,8,1
43,3536,20241001,30,26,0.8666666666666667
43,3540,20241001,10,10,1
43,3541,20241001,21,20,0.9523809523809523
43,3543,20241001,14,13,0.9285714285714286
43,3544,20241001,13,13,1
43,3545,20241001,17,15,0.8823529411764706
43,3546,20241001,14,14,1
43,3547,20241001,16,16,1
43,3548,20241001,6,6,1
43,3549,20241001,15,15,1
43,3601,20241001,42,42,1
43,3605,20241001,26,26,1
43,3615,20241001,30,30,1
43,3620,20241001,95,95,1
43,3625,20241001,8,8,1
43,3626,20241001,34,34,1
43,3635,20241001,21,21,1
43,3641,20241001,3,3,1
43,3642,20241001,24,24,1
43,3701,20241001,50,47,0.94
43,3702,20241001,43,43,1
43,3703,20241001,73,71,0.9726027397260274
43,3704,20241001,30,28,0.9333333333333333
43,3705,20241001,56,52,0.9285714285714286
43,3706,20241001,12,12,1
43,3708,20241001,12,12,1
43,3709,20241001,16,16,1
43,3710,20241001,82,80,0.975609756097561
43,3711,20241001,26,25,0.9615384615384616
43,3715,20241001,40,39,0.975
43,3716,20241001,47,43,0.9148936170212766
43,3717,20241001,55,55,1
43,3720,20241001,2,2,1
43,3721,20241001,51,50,0.9803921568627451
44,4308,20241002,11,10,0.9090909090909091
44,4439,20241002,18,18,1
44,4310,20241002,6,6,1
44,4472,20241002,6,6,1
44,4321,20241002,18,18,1
44,4531,20241002,19,19,1
44,4600,20241002,100,99,0.99
44,4425,20241002,2,2,1
44,4414,20241002,4,3,0.75
44,4433,20241002,2,2,1
44,4701,20241002,120,119,0.9916666666666667
44,4434,20241002,24,22,0.9166666666666666
44,4481,20241002,15,14,0.9333333333333333
44,4501,20241002,46,46,1
44,4620,20241002,12,12,1
44,4901,20241002,11,11,1
44,4704,20241002,44,44,1
44,4715,20241002,6,6,1
44,4516,20241002,22,22,1
44,4902,20241002,3,3,1
44,4544,20241002,16,16,1
44,4725,20241002,55,55,1
44,4905,20241002,9,9,1
44,4552,20241002,6,5,0.8333333333333334
44,4421,20241002,34,34,1
44,4406,20241002,26,22,0.8461538461538461
44,4207,20241002,11,11,1
44,4604,20241002,26,26,1
44,4203,20241002,43,43,1
44,4504,20241002,48,47,0.9791666666666666
44,4521,20241002,19,19,1
44,4621,20241002,30,30,1
44,4102,20241002,20,20,1
44,4426,20241002,66,64,0.9696969696969697
44,4612,20241002,17,17,1
44,4103,20241002,15,13,0.8666666666666667
44,4442,20241002,6,6,1
44,4437,20241002,36,36,1
44,4517,20241002,2,2,1
44,4512,20241002,63,62,0.9841269841269841
44,4520,20241002,2,2,1
44,4525,20241002,4,3,0.75
44,4641,20241002,17,17,1
44,4305,20241002,19,18,0.9473684210526315
44,4307,20241002,22,22,1
44,4707,20241002,22,22,1
44,4429,20241002,18,15,0.8333333333333334
44,4431,20241002,17,17,1
44,4541,20241002,2,2,1
44,4710,20241002,55,55,1
44,4542,20241002,16,16,1
44,4322,20241002,18,17,0.9444444444444444
44,4402,20241002,7,7,1
44,4705,20241002,75,75,1
44,4412,20241002,53,53,1
44,4205,20241002,11,9,0.8181818181818182
44,4206,20241002,5,5,1
44,4422,20241002,43,43,1
44,4410,20241002,27,26,0.9629629629629629
44,4403,20241002,78,76,0.9743589743589743
44,4428,20241002,24,22,0.9166666666666666
44,4435,20241002,12,11,0.9166666666666666
44,4464,20241002,9,9,1
44,4543,20241002,16,16,1
44,4550,20241002,6,6,1
44,4202,20241002,9,8,0.8888888888888888
44,4530,20241002,9,9,1
44,4427,20241002,27,25,0.9259259259259259
44,4706,20241002,41,41,1
44,4204,20241002,18,18,1
44,4302,20241002,6,4,0.6666666666666666
44,4465,20241002,2,2,1
44,4466,20241002,1,1,1
44,4312,20241002,18,18,1
44,4548,20241002,5,5,1
44,4514,20241002,19,19,1
44,4436,20241002,53,52,0.9811320754716981
44,4438,20241002,56,53,0.9464285714285714
44,4515,20241002,8,8,1
44,4522,20241002,3,3,1
44,4524,20241002,13,13,1
44,4611,20241002,21,21,1
44,4532,20241002,15,15,1
44,4730,20241002,26,26,1
44,4702,20241002,96,96,1
44,4311,20241002,5,5,1
44,4107,20241002,7,7,1
44,4401,20241002,24,18,0.75
44,4432,20241002,24,24,1
44,4503,20241002,8,6,0.75
44,4551,20241002,21,21,1
44,4453,20241002,2,2,1
44,4304,20241002,10,10,1
44,4463,20241002,9,9,1
44,4513,20241002,9,9,1
44,4430,20241002,16,14,0.875
44,4549,20241002,6,6,1
44,4301,20241002,5,4,0.8
44,4540,20241002,19,18,0.9473684210526315
44,4560,20241002,36,36,1
44,4720,20241002,72,71,0.9861111111111112
44,4303,20241002,9,9,1
44,4523,20241002,2,2,1
44,4443,20241002,12,12,1
