Product_id;Name;is_person_transport_title;is_junior;is_senior
 id-prod-navegante-famil-trab-cm-a3; navegante® Familiar Trabalhador CM A3;True;False;False
 id-prod-navegante-famil-trab-cm-a4; navegante® Familiar Trabalhador CM A4;True;False;False
 id-prod-metro-caneca; Caneca Carris Metropolitana;False;False;False
 id-prod-metro-garrafa; Garrafa Carris Metropolitana;True;False;False
 id-prod-metro-bone; Boné Carris Metropolitana;True;False;False
 id-prod-metro-meias; Meias Carris Metropolitana;True;False;False
 id-prod-metro-t-shirt; T-shirt Carris Metropolitana;True;False;False
 id-prod-metro-hoodie; Hoodie Carris Metropolitana;True;False;False
 id-prod-portes-envio-card; Portes de envio navegante® personalizado;True;False;False
 id-prod-cap-bilhete-diario-eletro; Bilhete Diário Eletrónico;True;False;False
 id-prod-cap-bilhete-diario; Bilhete Diário;True;False;False
 id-prod-cap-bilhete-diario-promo; Bilhete Diário Promocional;True;False;False
 id-prod-cap-viver-cascais-residente; Viver Cascais Residente;True;False;False
 id-prod-cap-viver-cascais-trab; Viver Cascais Trabalhador;True;False;False
 id-prod-cap-viver-cascais-estudante; Viver Cascais Estudante;True;False;False
 id-prod-cap-viver-cascais; Viver Cascais;True;False;False
 id-prod-ca-tapngo; Cartão Bancário (Tap & Go);True;False;False
 id-prod-ca-ml-passe-urb-estac; Passe CA/ML Urb. + Estac.;True;False;False
 id-prod-ca-navegante-urb-3id; Navegante Urbano-3ª idade;True;False;True
 id-prod-ca-navegante-urb-ref; Navegante Urbano-R/P;True;False;False
 id-prod-ca-navegante-urb-3id-gl; Navegante Urbano-3ª Idade GL;True;False;True
 id-prod-ca-navegante-oper-fam; Navegante Operador Familiar;True;False;False
 id-prod-ca-navegante-oper-ref; Navegante Operador Reformado;True;False;False
 id-prod-ca-carreiras-bairro; Carreiras de Bairro;True;False;False
 id-prod-ml-passe-urb-30d; ML Urb. 30 Dias Úteis;True;False;False
 id-prod-ticket-ca-ml; Viagem CA/ML;True;False;False
 id-prod-ticket-24h-ca-ml; Bilhete 24 Horas CA/ML Rede;True;False;False
 id-prod-ticket-24h-ca-ml-cp; Bilhete 24 Horas CA/ML/CP;True;False;False
 id-prod-24horas-CA-ML-TT; Bilhete 24h CA/ML/TT;True;False;False
 id-prod-ca-tarifa-bordo-auto; TBordo-Auto.;True;False;False
 id-prod-ca-tarifa-bordo-elec; TBordo-Elect.;True;False;False
 id-prod-ca-tarifa-bordo-gloria; TBordo-Glória;True;False;False
 id-prod-ca-tarifa-bordo-lavra; TBordo-Lavra;True;False;False
