verification_status,status,id,name,lat,lon,area,locality,municipality_id,municipality_name,district_id,district_name,region_id,region_name,display_mode,stops
verificado,ok,353,Pinhal Conde da Cunha,38.610642,-9.134959,3,Amora,1510,Seixal,15,Setúbal,PT170,AML,arrivals,140193
verificado,ok,354,Avenida 25 de Abril 581,38.584688,-9.095908,3,Pinhal de Frades,1510,Seixal,15,Setúbal,PT170,AML,arrivals,140415
verificado,ok,355,Avenida 5 de Outubro (Rotunda),38.556792,-9.061379,3,Fernão Ferro,1510,Seixal,15,Setúbal,PT170,AML,arrivals,140809
verificado,ok,356,Avenida dos Resistentes Antifascistas Ft 57,38.617614,-9.105788,3,Arrentela,1510,Seixal,15,Setúbal,PT170,AML,arrivals,140228
verificado,ok,357,Avenida Albano Pereira 5,38.640569,-9.099348,3,Seixal,1510,Seixal,15,Setúbal,PT170,AML,arrivals,140068
verificado,ok,358,Avenida 25 de Abril - Ft 581,38.584682,-9.095765,3,Pinhal de Frades,1510,Seixal,15,Setúbal,PT170,AML,arrivals,140416
verificado,ok,359,Avenida dos Resistentes Antifascistas 69,38.617083,-9.105586,3,Arrentela,1510,Seixal,15,Setúbal,PT170,AML,arrivals,140227
verificado,structure_graffiti,360,Rua Silva Alves Cunha (Mercado Municipal),38.643403,-9.099154,3,Seixal,1510,Seixal,15,Setúbal,PT170,AML,arrivals,140247
verificado,ok,363,R. Dr. Alberto Leite (Jardim),38.462298,-9.102498,3,Santana,1511,Sesimbra,15,Setúbal,PT170,AML,arrivals,150067
verificado,ok,364,R. Dr. Alberto Leite (Ft. Jardim),38.462145,-9.102467,3,Santana,1511,Sesimbra,15,Setúbal,PT170,AML,arrivals,150070
verificado,ok,365,EN378 Ft. 55 ,38.470898,-9.100797,3,Santana,1511,Sesimbra,15,Setúbal,PT170,AML,arrivals,150223
verificado,ok,366,Alameda Salgeiro Maia (Ft. Posto Combustivel),38.572361,-9.036989,3,Quinta do Conde,1511,Sesimbra,15,Setúbal,PT170,AML,arrivals,150009
verificado,ok,367,Avenida Norton de Matos - Jardim,38.565027,-9.037068,3,Quinta do Conde,1511,Sesimbra,15,Setúbal,PT170,AML,arrivals,150013
verificado,ok,368,Avenida Norton de Matos - Supermercado,38.565114,-9.037349,3,Quinta do Conde,1511,Sesimbra,15,Setúbal,PT170,AML,arrivals,150529
