id,name,lat,lon,area,locality,municipality_id,municipality_name,district_id,district_name,region_id,region_name,stops,status,verification_status
256,R. das Labruscas,39.029643,-9.367741,2,Encarnação,1109,Mafra,11,Lisboa,PT170,AML,080525,1.ª Fase - Exteriores,Instalado e Verificado
257,Avenida 1 de Maio,38.651312,-9.038897,4,Vale da Amoreira,1506,Moita,15,Setúbal,PT170,AML,090262,1.ª Fase - Exteriores,Instalado e Verificado
258,R ECA QUEIROZ34 - URB S SEBASTIAO,38.656970,-8.991514,4,Moita,1506,Moita,15,Setúbal,PT170,AML,090060,1.ª Fase - Exteriores,Instalado e Verificado
259,Avenida Marginal (Câmara Municipal),38.652861,-8.994039,4,Moita,1506,Moita,15,Setúbal,PT170,AML,090058,1.ª Fase - Exteriores,Instalado e Verificado
263,EN11-Posto Combustivel,38.652915,-9.021126,4,Alhos Vedros,1506,Moita,15,Setúbal,PT170,AML,090011,1.ª Fase - Exteriores,Instalado e Verificado
264,Rua Joly Braga Santos (Parque Qta. da Fonte da Prata),38.655270,-9.009300,4,Fonte da Prata,1506,Moita,15,Setúbal,PT170,AML,090007,1.ª Fase - Exteriores,Instalado e Verificado
267,Av Infante D. Henriques - Escola Secundária,38.708878,-8.983556,4,Montijo,1507,Montijo,15,Setúbal,PT170,AML,100087,1.ª Fase - Exteriores,Instalado e Verificado
268,Via Circular Externa - Zona Comercial,38.696854,-8.945297,4,Afonsoeiro,1507,Montijo,15,Setúbal,PT170,AML,100153,1.ª Fase - Exteriores,Instalado e Verificado
269,Pr Gomes Freire de Andrade - P5,38.705777,-8.976562,4,Montijo,1507,Montijo,15,Setúbal,PT170,AML,100027,1.ª Fase - Exteriores,Instalado e Verificado
270,Av. Pedro Nunes (Ft. Área Comercial),38.702624,-8.948040,4,Afonsoeiro,1507,Montijo,15,Setúbal,PT170,AML,100041,1.ª Fase - Exteriores,Relocalizar (Já Instalado)
271,Avenida 5 de Outubro 5,38.678242,-8.968271,4,Sarilhos Grandes,1507,Montijo,15,Setúbal,PT170,AML,100190,1.ª Fase - Exteriores,Instalado e Verificado
272,EN4 - Fte 489,38.706639,-8.924861,4,Atalaia,1507,Montijo,15,Setúbal,PT170,AML,100290,1.ª Fase - Exteriores,Instalado e Verificado
273,EN5 - Jardim,38.700075,-8.957360,4,Bela Vista,1507,Montijo,15,Setúbal,PT170,AML,100006,1.ª Fase - Exteriores,Instalado e Verificado
274,EN5 - Fte Jardim,38.699429,-8.957063,4,Bela Vista,1507,Montijo,15,Setúbal,PT170,AML,100005,1.ª Fase - Exteriores,Instalado e Verificado
275,EN251 - Largo Manuel Mauricio,38.765802,-8.626916,4,Canha,1507,Montijo,15,Setúbal,PT170,AML,100203,1.ª Fase - Exteriores,Instalado e Verificado
276,Escola Secundária Poeta Joaquim Serra,38.703508,-8.952942,4,Afonsoeiro,1507,Montijo,15,Setúbal,PT170,AML,100038,1.ª Fase - Exteriores,Instalado e Verificado
277,Pegões (X) EN10,38.681967,-8.612434,4,Pegões,1507,Montijo,15,Setúbal,PT170,AML,100235,1.ª Fase - Exteriores,Instalado e Verificado
278,Av. Dr. Augusti Pais (Centro Comercial),38.781468,-9.193254,2,Odivelas,1116,Odivelas,11,Lisboa,PT170,AML,110135,1.ª Fase - Exteriores,Instalado e Verificado
279,Av. D. Dinis 8,38.789741,-9.176841,2,Odivelas,1116,Odivelas,11,Lisboa,PT170,AML,110411,1.ª Fase - Exteriores,Instalado e Verificado
280,Av. Prof. Dr. Augusto Abreu Lopes 52,38.794513,-9.179555,2,Odivelas,1116,Odivelas,11,Lisboa,PT170,AML,110127,1.ª Fase - Exteriores,Instalado e Verificado
281,R. Guilhermina Ascenso (X) R. Dr. João Santos,38.797214,-9.192369,2,Odivelas,1116,Odivelas,11,Lisboa,PT170,AML,110070,1.ª Fase - Exteriores,Instalado e Verificado
282,Av. da Liberdade (Ft. Escola),38.802898,-9.183703,2,Ramada,1116,Odivelas,11,Lisboa,PT170,AML,110324,1.ª Fase - Exteriores,Instalado e Verificado
283,R. Almirante Gago Coutinho (X) Av. 25 de Abril,38.797772,-9.161836,2,Póvoa de Santo Adrião,1116,Odivelas,11,Lisboa,PT170,AML,110621,1.ª Fase - Exteriores,Instalado e Verificado
284,Lg. Major Rosa Bastos,38.800000,-9.159829,2,Póvoa de Santo Adrião,1116,Odivelas,11,Lisboa,PT170,AML,110619,1.ª Fase - Exteriores,Instalado e Verificado
285,R. Regimento de Engenharia Um (Ft. Jd. de Infância),38.765067,-9.198128,2,Pontinha,1116,Odivelas,11,Lisboa,PT170,AML,110045,1.ª Fase - Exteriores,Instalado e Verificado
286,R. Regimento de Engenharia Um (X) R. Santo André,38.765260,-9.198243,2,Pontinha,1116,Odivelas,11,Lisboa,PT170,AML,110697,1.ª Fase - Exteriores,Instalado e Verificado
287,Rt. Senhor Roubado,38.787008,-9.170508,2,Olival Basto,1116,Odivelas,11,Lisboa,PT170,AML,110113,1.ª Fase - Exteriores,Instalado e Verificado
290,Odivelas (Metro) P5,38.792672,-9.172491,2,Odivelas,1116,Odivelas,11,Lisboa,PT170,AML,111025,1.ª Fase - Exteriores,Instalado e Verificado
291,Odivelas (Metro) P10,38.792470,-9.173751,2,Odivelas,1116,Odivelas,11,Lisboa,PT170,AML,110410,1.ª Fase - Exteriores,Instalado e Verificado
293,R. Alfredo da Costa (Ft. Pq. Infantil),38.788756,-9.191120,2,Odivelas,1116,Odivelas,11,Lisboa,PT170,AML,110337,1.ª Fase - Exteriores,Instalado e Verificado
294,R. Santo Estevão (X) R. Qta. da Silveira,38.792964,-9.217050,2,Famões,1116,Odivelas,11,Lisboa,PT170,AML,110766,1.ª Fase - Exteriores,Instalado e Verificado
295,Rua Amália Rodrigues (X) R. Hermínia Silva,38.812716,-9.188065,2,Ramada,1116,Odivelas,11,Lisboa,PT170,AML,110313,1.ª Fase - Exteriores,Instalado e Verificado
298,Av República 15,38.695079,-9.324631,1,,1110,Oeiras,11,Lisboa,PT170,AML,121197,1.ª Fase - Exteriores,Instalado por Verificar
299,Av República 15,38.694913,-9.324909,1,,1110,Oeiras,11,Lisboa,PT170,AML,121198,1.ª Fase - Exteriores,Instalado por Verificar
