id,name,lat,lon,A1,A2,A3,A4,is_active,validation_date,locality,parish_id,parish_name,municipality_id,municipality_name,district_id,district_name,region_id,region_name,stops
TRAIN_038,Cais do Sodré,38.705991,-9.145147,1,0,0,0,,,,110661,Misericórdia,1106,Lisboa,11,Lisboa,PT170,AML,060451|060452|062000|060419
TRAIN_039,Monte Estoril,38.703553,-9.406545,1,0,0,0,,,,110508,União das freguesias de Cascais e Estoril,1105,Cascais,11,Lisboa,PT170,AML,
TRAIN_040,Santos,38.706266,-9.154441,1,0,0,0,,,,110660,Estrela,1106,Lisboa,11,Lisboa,PT170,AML,060415
TRAIN_041,Alcântara-Terra,38.707487,-9.173338,1,0,0,0,,,,110660,Estrela,1106,Lisboa,11,Lisboa,PT170,AML,060021|060380|060019|060409
TRAIN_042,Santa Apolónia,38.713818,-9.123032,1,0,0,0,,,,110667,São Vicente,1106,Lisboa,11,Lisboa,PT170,AML,
TRAIN_043,Rossio,38.715154,-9.142841,1,0,0,0,,,,110665,Santa Maria Maior,1106,Lisboa,11,Lisboa,PT170,AML,
TRAIN_044,Campolide,38.732357,-9.168420,1,0,0,0,,,,110610,Campolide,1106,Lisboa,11,Lisboa,PT170,AML,
TRAIN_045,Marvila,38.739010,-9.108829,1,0,0,0,,,,110621,Marvila,1106,Lisboa,11,Lisboa,PT170,AML,
TRAIN_046,Chelas,38.739104,-9.118985,1,0,0,0,,,,110607,Beato,1106,Lisboa,11,Lisboa,PT170,AML,
TRAIN_047,Sete Rios,38.740248,-9.166766,1,0,0,0,,,,110639,São Domingos de Benfica,1106,Lisboa,11,Lisboa,PT170,AML,060459|060453|060454|060013|060456|060457|060457
TRAIN_048,Entrecampos,38.744485,-9.148742,1,0,0,0,,,,110657,Avenidas Novas,1106,Lisboa,11,Lisboa,PT170,AML,
TRAIN_049,Benfica,38.744426,-9.199923,1,0,0,0,,,,110608,Benfica,1106,Lisboa,11,Lisboa,PT170,AML,
TRAIN_050,Areeiro,38.745681,-9.135083,1,0,0,0,,,,110654,Alvalade,1106,Lisboa,11,Lisboa,PT170,AML,
TRAIN_051,Braço de Prata,38.746093,-9.103105,1,0,0,0,,,,110621,Marvila,1106,Lisboa,11,Lisboa,PT170,AML,
TRAIN_052,Santa Cruz - Damaia,38.746914,-9.213086,1,0,0,0,,,,111513,Águas Livres,1115,Amadora,11,Lisboa,PT170,AML,030833
TRAIN_053,Reboleira,38.750818,-9.222728,1,0,0,0,,,,111513,Águas Livres,1115,Amadora,11,Lisboa,PT170,AML,030045|030086|030111|030513|030583|030844|030861|030872|030407|035500|030408
TRAIN_054,Tercena - Barcarena (Barcarena - Massamá),38.751573,-9.284372,1,0,0,0,,,,111002,Barcarena,1110,Oeiras,11,Lisboa,PT170,AML,120520|172479|172496|170907
TRAIN_055,Queluz - Massamá (Queluz - Monte Abraão),38.755042,-9.265769,1,0,0,0,,,,111125,União das freguesias de Massamá e Monte Abraão,1111,Sintra,11,Lisboa,PT170,AML,170851|170901|170921|170929|172105|172185|172195|172197|172199|172478|172480|172491|172537
TRAIN_056,Queluz - Belas (Queluz),38.758786,-9.256590,1,0,0,0,,,,111126,União das freguesias de Queluz e Belas,1111,Sintra,11,Lisboa,PT170,AML,172477|172536|170599
TRAIN_057,Amadora,38.759920,-9.235962,1,0,0,0,,,,111516,Mina de Água,1115,Amadora,11,Lisboa,PT170,AML,030687|030843|030842|030119|030845|030317|030869|030821|030685|030469
TRAIN_058,Oriente,38.767939,-9.099037,1,0,0,0,,,,110662,Parque das Nações,1106,Lisboa,11,Lisboa,PT170,AML,060001|060002|060009|060011|060207|060253|060321|060322|060323|060325|060327|060361
TRAIN_059,Cacém,38.766397,-9.298418,1,0,0,0,,,,111122,União das freguesias de Agualva e Mira-Sintra,1111,Sintra,11,Lisboa,PT170,AML,172486|172526|172532|170457|172490|172488|172498|172487|172489|170653|172600|172552|172555
TRAIN_060,Moscavide,38.778052,-9.099589,0,1,0,0,,,,110726,União das freguesias de Moscavide e Portela,1107,Loures,11,Lisboa,PT170,AML,
TRAIN_061,Rio de Mouro,38.784650,-9.322256,1,0,0,0,,,,111108,Rio de Mouro,1111,Sintra,11,Lisboa,PT170,AML,170073|170169|172492|172493|172601
TRAIN_062,Mira Sintra-Meleças,38.789660,-9.312456,1,0,0,0,,,,111126,União das freguesias de Queluz e Belas,1111,Sintra,11,Lisboa,PT170,AML,171197
TRAIN_063,Mercês,38.793205,-9.330795,1,0,0,0,,,,111102,Algueirão-Mem Martins,1111,Sintra,11,Lisboa,PT170,AML,170271
TRAIN_064,Sacavém,38.795366,-9.099601,1,0,0,0,,,,110662,Parque das Nações,1106,Lisboa,11,Lisboa,PT170,AML,070126|070126|070533
TRAIN_065,Algueirão - Mem Martins,38.797603,-9.341436,1,0,0,0,,,,111102,Algueirão-Mem Martins,1111,Sintra,11,Lisboa,PT170,AML,170095|170197|171125|172628
